Country,Zero Fatalties,1 to 5 ,6 to 10 ,11 to 20,21 to 30,31 to 50,51 to 100,100 to 150,151 to 200,201 to 500,501 to 1000,more than 1000 
AFG,2384,6960,1965,339,339,206,61,16,2,1,0,0
ALG,3047,1702,211,56,56,37,17,6,0,2,0,0
ANG,2270,297,73,48,48,65,47,13,11,18,116,4
BHR,944,14,0,0,0,0,0,0,0,0,0,0
BGD,5432,1540,8,2,2,0,0,0,0,0,0,0
BEN,140,29,3,0,0,0,0,0,0,0,0,0
BOT,38,2,0,0,0,0,0,0,0,0,0,0
BFO,872,175,10,7,7,0,0,0,0,0,0,0
BUR,4357,2122,192,86,86,46,49,8,6,12,1,0
KHM,1687,117,2,0,0,0,0,0,0,0,0,0
CAO,762,687,82,11,11,14,10,4,1,1,0,0
CEN,2333,1273,260,61,61,30,22,6,1,0,0,0
CHA,447,96,34,20,20,14,28,5,4,5,0,0
DRC,8427,2657,514,159,159,110,109,36,17,29,6,1
DJI,84,20,2,1,1,0,0,0,0,0,0,0
EGY,6263,1917,170,47,47,26,14,8,0,4,0,0
EQG,36,11,1,0,0,0,0,0,0,0,0,0
ERI,284,41,4,7,7,3,3,1,4,0,2,56
ETH,2484,1344,298,122,122,85,76,14,3,9,1,18
ETH,4,2,1,0,0,0,0,0,0,0,0,0
GAB,159,14,0,0,0,0,0,0,0,0,0,0
GAM,163,22,0,0,0,0,1,0,0,0,0,0
GHA,501,120,4,1,1,0,0,1,0,0,0,0
GUI,644,180,30,5,5,7,7,0,1,2,0,0
GNB,144,46,3,1,1,4,3,0,0,0,0,0
IND,36114,1821,39,6,6,2,0,0,0,0,0,0
IDN,361,76,0,0,0,0,0,0,0,0,0,0
IRN,2507,112,10,4,4,0,0,0,0,0,0,0
IRQ,6840,3845,1328,318,318,236,134,31,8,11,0,0
ISR,792,24,0,0,0,0,0,0,0,0,0,0
CDI,1252,288,83,7,7,11,8,2,2,1,0,0
JOR,185,15,4,0,0,0,0,0,0,0,0,0
ETH,4134,1868,193,37,37,26,10,1,0,1,0,0
KWT,17,0,0,0,0,0,0,0,0,0,0,0
LAO,13,16,0,0,0,0,0,0,0,0,0,0
LBN,757,109,27,0,0,2,1,0,0,0,0,0
LES,74,31,2,2,2,0,0,0,0,0,0,0
LBR,1182,74,10,3,3,7,3,1,0,0,0,0
LBY,4142,2123,270,60,60,40,19,3,3,5,2,0
MAG,698,317,13,4,4,12,1,1,0,0,0,0
MAW,313,82,2,0,0,0,0,0,0,0,0,0
MLI,1240,724,102,22,22,11,5,1,0,0,0,0
MAA,435,31,3,1,1,0,0,0,0,0,0,0
MOR,1236,48,2,0,0,1,0,0,0,0,0,0
MZM,637,221,15,1,1,0,1,0,0,0,0,0
MMR,4878,797,112,24,24,15,7,5,0,0,0,0
NAM,621,52,9,1,1,0,0,0,0,0,0,0
NEP,4380,123,1,0,0,0,0,0,0,0,0,0
NIR,388,153,29,6,6,7,8,1,0,1,0,0
NIG,6888,3850,791,204,204,181,117,14,23,32,4,0
OMN,3,0,0,0,0,0,0,0,0,0,0,0
PAK,36793,6104,,156,156,71,31,4,0,0,0,0
PSE,3485,347,,0,0,0,0,0,0,0,0,0
PHL,1906,3767,,6,6,2,0,0,0,0,0,0
QAT,1,0,,0,0,0,0,0,0,0,0,0
CON,363,50,,1,1,0,3,0,0,0,0,0
RWA,268,159,,23,23,19,23,7,1,3,1,0
RWA,1,0,,0,0,0,0,0,0,0,0,0
SAU,2471,951,,7,7,9,0,0,0,0,0,0
SEN,792,186,,8,8,4,2,0,1,0,0,0
SIE,4657,32,,0,0,0,0,0,0,0,0,0
SOM,15301,9274,,125,125,65,30,2,2,1,1,0
SAF,9205,959,,1,1,1,0,0,0,0,0,0
SSD,2694,1528,,89,89,88,69,10,6,9,7,0
SRI,2556,98,,0,0,0,0,0,0,0,0,0
SUD,6665,2630,,197,197,225,245,62,39,48,7,0
SYR,31980,9974,,216,216,148,62,11,3,1,0,0
TAZ,505,194,,3,3,4,1,1,0,0,0,0
THA,2104,841,,0,0,0,0,0,0,0,0,0
TOG,279,33,,0,0,0,0,0,0,0,0,0
TUN,3741,230,,2,2,2,1,0,0,0,0,0
TUR,4343,1851,,22,22,15,6,1,0,0,0,0
DRC,2804,1550,,40,40,45,32,2,3,0,1,0
ARE,2,0,,0,0,0,0,0,0,0,0,0
VNM,410,35,,3,3,0,0,0,0,0,0,0
YEM,16767,3870,,144,144,85,28,3,1,0,0,0
ZAM,1032,111,,0,0,0,0,0,0,0,0,0
ZIM,5597,278,,0,0,0,0,0,0,0,0,0
SWA,163,15,,0,0,0,0,0,0,0,0,0
IRQ,5,0,,318,318,236,134,31,8,11,0,0
